time=2025-08-15T12:26:28.367Z level=INFO msg="Watcharr Starting"
time=2025-08-15T12:26:28.374Z level=INFO msg="Config file doesn't exist... generating."
time=2025-08-15T12:26:28.387Z level=INFO msg="Logging level set" logging_level=INFO
time=2025-08-15T12:26:30.937Z level=INFO msg="No users found.. creating setup routes."
time=2025-08-15T12:26:30.937Z level=ERROR msg="IGDB init client id and or secret not provided"
time=2025-08-15T12:26:30.937Z level=ERROR msg="GameRoutes: Twitch init failed!" error="client id and or secret not provided"
time=2025-08-15T12:26:30.938Z level=INFO msg="SetupTasks: Jobs created and scheduler started."
[GIN] 2025/08/15 - 12:28:43 | 200 |   99.905371ms |      172.19.0.1 | GET      "/api/content/tv/46952/season/1?watchedId=1"
[GIN] 2025/08/15 - 12:28:45 | 200 |    4.784244ms |      172.19.0.1 | GET      "/api/img/4HTfd1PhgFUenJxVuBDNdLmdr0c.jpg"
[GIN] 2025/08/15 - 12:28:56 | 200 |     124.207µs |      172.19.0.1 | GET      "/api/content/trending"
[GIN] 2025/08/15 - 12:28:56 | 200 |      77.705µs |      172.19.0.1 | GET      "/api/content/discover/movies"
[GIN] 2025/08/15 - 12:28:56 | 200 |     113.907µs |      172.19.0.1 | GET      "/api/content/discover/tv"
[GIN] 2025/08/15 - 12:28:56 | 200 |      85.306µs |      172.19.0.1 | GET      "/api/content/upcoming/movies"
[GIN] 2025/08/15 - 12:28:56 | 200 |      81.205µs |      172.19.0.1 | GET      "/api/content/upcoming/tv"
[GIN] 2025/08/15 - 12:29:00 | 304 |    4.202561ms |      172.19.0.1 | GET      "/api/img/4HTfd1PhgFUenJxVuBDNdLmdr0c.jpg"
[GIN] 2025/08/15 - 12:29:06 | 200 |    2.143457ms |      172.19.0.1 | GET      "/_app/immutable/assets/RegionDropDown.BQl0QS_2.css"
[GIN] 2025/08/15 - 12:29:06 | 200 |    2.385676ms |      172.19.0.1 | GET      "/_app/immutable/nodes/19.DXQzSvF0.js"
[GIN] 2025/08/15 - 12:29:06 | 200 |     2.98582ms |      172.19.0.1 | GET      "/_app/immutable/chunks/BmSGNoyO.js"
[GIN] 2025/08/15 - 12:29:06 | 200 |     2.57669ms |      172.19.0.1 | GET      "/_app/immutable/assets/19.jXaGRMbV.css"
[GIN] 2025/08/15 - 12:29:06 | 200 |    1.718427ms |      172.19.0.1 | GET      "/api/server/config"
time=2025-08-15T12:29:06.305Z level=ERROR msg="getServerStats - MostWatchedMovie query failed" error="record not found"
[GIN] 2025/08/15 - 12:29:06 | 200 |    21.44158ms |      172.19.0.1 | GET      "/api/server/stats"
[GIN] 2025/08/15 - 12:29:06 | 200 |  124.021536ms |      172.19.0.1 | GET      "/api/content/regions"
[GIN] 2025/08/15 - 12:33:45 | 304 |    5.247444ms |      172.19.0.1 | GET      "/api/img/4HTfd1PhgFUenJxVuBDNdLmdr0c.jpg"
